state,date,month,landings_mt,evidence_level,source_url
Terengganu,2023-01-01,1,2219.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-02-01,2,2998.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-03-01,3,3555.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-04-01,4,3944.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-05-01,5,4353.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-06-01,6,4194.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-07-01,7,4256.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-08-01,8,4134.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-09-01,9,4836.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-10-01,10,6473.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-11-01,11,3148.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Terengganu,2023-12-01,12,1591.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-01-01,1,4619.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-02-01,2,6193.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-03-01,3,8770.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-04-01,4,10425.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-05-01,5,9853.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-06-01,6,11298.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-07-01,7,12617.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-08-01,8,11160.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-09-01,9,12971.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-10-01,10,13217.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-11-01,11,9793.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
Pahang,2023-12-01,12,5288.0,OBSERVED,https://data.gov.my/data-catalogue/fish_landings
