state,district,date,income_mean,income_median
Johor,Batu Pahat,2019-01-01,7392,6504
Johor,Batu Pahat,2022-01-01,7419,6347
Johor,Batu Pahat,2024-01-01,9006,7555
Johor,Johor Bahru,2019-01-01,9315,7342
Johor,Johor Bahru,2022-01-01,9869,8232
Johor,Johor Bahru,2024-01-01,10975,8977
Johor,Kluang,2019-01-01,5953,4933
Johor,Kluang,2022-01-01,6461,5204
Johor,Kluang,2024-01-01,6616,6158
Johor,Kota Tinggi,2019-01-01,6982,5475
Johor,Kota Tinggi,2022-01-01,7529,6227
Johor,Kota Tinggi,2024-01-01,8106,6284
Johor,Kulai,2019-01-01,8602,7536
Johor,Kulai,2022-01-01,9177,7460
Johor,Kulai,2024-01-01,10296,8406
Johor,Mersing,2019-01-01,4937,3896
Johor,Mersing,2022-01-01,5426,4445
Johor,Mersing,2024-01-01,6014,5335
Johor,Muar,2019-01-01,7540,5963
Johor,Muar,2022-01-01,7572,5724
Johor,Muar,2024-01-01,8401,7334
Johor,Pontian,2019-01-01,6776,5585
Johor,Pontian,2022-01-01,6913,5616
Johor,Pontian,2024-01-01,7011,5685
Johor,Segamat,2019-01-01,6431,5595
Johor,Segamat,2022-01-01,6578,5318
Johor,Segamat,2024-01-01,7348,6451
Johor,Tangkak,2019-01-01,6659,5561
Johor,Tangkak,2022-01-01,7093,5622
Johor,Tangkak,2024-01-01,7524,6374
Kedah,Baling,2019-01-01,4313,3583
Kedah,Baling,2022-01-01,4263,3400
Kedah,Baling,2024-01-01,4345,3367
Kedah,Bandar Baharu,2019-01-01,4959,4022
Kedah,Bandar Baharu,2022-01-01,4565,3922
Kedah,Bandar Baharu,2024-01-01,4835,4310
Kedah,Kota Setar,2019-01-01,5773,4532
Kedah,Kota Setar,2022-01-01,5959,4751
Kedah,Kota Setar,2024-01-01,6034,5208
Kedah,Kuala Muda,2019-01-01,5656,4247
Kedah,Kuala Muda,2022-01-01,5624,4200
Kedah,Kuala Muda,2024-01-01,5729,4953
Kedah,Kubang Pasu,2019-01-01,6291,4814
Kedah,Kubang Pasu,2022-01-01,6221,5201
Kedah,Kubang Pasu,2024-01-01,6313,5312
Kedah,Kulim,2019-01-01,5476,4489
Kedah,Kulim,2022-01-01,5636,4498
Kedah,Kulim,2024-01-01,6395,5236
Kedah,Langkawi,2019-01-01,6737,5905
Kedah,Langkawi,2022-01-01,6087,5250
Kedah,Langkawi,2024-01-01,6278,5083
Kedah,Padang Terap,2019-01-01,4781,3722
Kedah,Padang Terap,2022-01-01,4858,3902
Kedah,Padang Terap,2024-01-01,5062,3954
Kedah,Pendang,2019-01-01,4680,3765
Kedah,Pendang,2022-01-01,4986,3801
Kedah,Pendang,2024-01-01,5464,4592
Kedah,Pokok Sena,2019-01-01,5046,4246
