state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,Batu Pahat,2018-01-01,207.1,203.1,4.0,94.4,68.7,1.9,67.4
Johor,Batu Pahat,2019-01-01,213.6,209.8,3.7,90.4,70.3,1.7,69.0
Johor,Batu Pahat,2020-01-01,253.3,247.8,5.5,105.2,70.6,2.2,69.1
Johor,Batu Pahat,2021-01-01,250.2,244.5,5.7,109.5,69.6,2.3,68.0
Johor,Batu Pahat,2022-01-01,253.3,248.8,4.5,107.2,70.3,1.8,69.0
Johor,Batu Pahat,2023-01-01,258.7,255.0,3.7,108.4,70.5,1.4,69.5
Johor,Batu Pahat,2024-01-01,263.6,260.2,3.4,108.2,70.9,1.3,70.0
Johor,Johor Bahru,2018-01-01,768.4,742.8,25.6,301.3,71.8,3.3,69.4
Johor,Johor Bahru,2019-01-01,792.4,767.8,24.6,293.7,73.0,3.1,70.7
Johor,Johor Bahru,2020-01-01,853.8,819.0,34.9,311.1,73.3,4.1,70.3
Johor,Johor Bahru,2021-01-01,855.7,820.4,35.3,307.5,73.6,4.1,70.5
Johor,Johor Bahru,2022-01-01,869.7,838.5,31.3,302.3,74.2,3.6,71.5
Johor,Johor Bahru,2023-01-01,897.3,871.2,26.1,308.5,74.4,2.9,72.3
Johor,Johor Bahru,2024-01-01,921.3,896.3,25.0,314.1,74.6,2.7,72.6
Johor,Kluang,2018-01-01,159.3,153.2,6.2,69.5,69.6,3.9,66.9
Johor,Kluang,2019-01-01,166.1,160.5,5.6,66.9,71.3,3.4,68.9
Johor,Kluang,2020-01-01,165.4,158.4,7.0,65.5,71.6,4.2,68.6
Johor,Kluang,2021-01-01,167.1,159.6,7.5,65.2,71.9,4.5,68.7
Johor,Kluang,2022-01-01,167.9,161.3,6.6,64.1,72.4,3.9,69.5
Johor,Kluang,2023-01-01,172.5,167.0,5.5,65.2,72.6,3.2,70.3
Johor,Kluang,2024-01-01,176.6,171.6,5.0,66.6,72.6,2.8,70.6
Johor,Kota Tinggi,2018-01-01,94.7,91.9,2.8,44.8,67.9,3.0,65.9
Johor,Kota Tinggi,2019-01-01,100.7,98.0,2.8,43.8,69.7,2.7,67.8
Johor,Kota Tinggi,2020-01-01,110.7,106.9,3.8,47.2,70.1,3.4,67.7
Johor,Kota Tinggi,2021-01-01,111.5,107.2,4.3,46.6,70.5,3.9,67.8
Johor,Kota Tinggi,2022-01-01,113.4,109.6,3.9,45.6,71.3,3.4,68.9
Johor,Kota Tinggi,2023-01-01,116.2,113.0,3.2,46.2,71.5,2.8,69.6
Johor,Kota Tinggi,2024-01-01,119.6,116.7,2.9,46.3,72.1,2.4,70.3
Johor,Kulai,2018-01-01,129.7,125.9,3.8,70.5,64.8,2.9,62.9
Johor,Kulai,2019-01-01,131.7,128.1,3.6,66.7,66.4,3.5,64.6
Johor,Kulai,2020-01-01,161.1,155.6,5.5,79.6,66.9,3.4,64.6
Johor,Kulai,2021-01-01,157.1,151.3,5.7,81.8,65.8,3.6,63.3
Johor,Kulai,2022-01-01,159.1,154.0,5.1,80.9,66.3,3.2,64.2
Johor,Kulai,2023-01-01,165.9,161.6,4.3,83.6,66.5,2.6,64.8
Johor,Kulai,2024-01-01,173.3,169.4,3.9,86.2,66.8,2.3,65.3
Johor,Mersing,2018-01-01,32.2,31.4,0.8,22.4,59.0,2.5,57.5
Johor,Mersing,2019-01-01,33.2,32.4,0.8,21.8,60.4,2.4,58.9
Johor,Mersing,2020-01-01,33.8,32.6,1.1,21.6,61.0,3.3,58.8
Johor,Mersing,2021-01-01,33.2,32.0,1.2,22.4,59.7,3.5,57.6
Johor,Mersing,2022-01-01,33.6,32.6,1.0,22.2,60.3,2.9,58.4
Johor,Mersing,2023-01-01,34.3,33.5,0.8,22.4,60.4,2.4,59.1
Johor,Mersing,2024-01-01,35.4,34.7,0.7,22.3,61.3,2.0,60.1
Johor,Muar,2018-01-01,120.7,118.6,2.1,63.4,65.6,1.8,64.4
Johor,Muar,2019-01-01,126.4,124.3,2.1,60.7,67.5,1.7,66.4
Johor,Muar,2020-01-01,151.6,148.1,3.5,71.5,68.0,2.3,66.4
Johor,Muar,2021-01-01,152.5,148.7,3.9,71.6,68.0,2.5,66.4
Johor,Muar,2022-01-01,153.6,150.1,3.5,69.7,68.8,2.3,67.2
Johor,Muar,2023-01-01,157.7,154.8,2.9,70.9,69.0,1.8,67.7
Johor,Muar,2024-01-01,161.4,158.7,2.6,71.2,69.4,1.6,68.2
Johor,Pontian,2018-01-01,74.1,71.7,2.4,40.4,64.7,3.2,62.6
Johor,Pontian,2019-01-01,77.2,74.8,2.4,39.5,66.2,3.1,64.1
Johor,Pontian,2020-01-01,82.0,78.7,3.3,41.1,66.6,4.0,63.9
Johor,Pontian,2021-01-01,80.9,77.2,3.7,42.6,65.5,4.5,62.5
Johor,Pontian,2022-01-01,81.5,78.6,2.9,41.8,66.1,3.6,63.7
Johor,Pontian,2023-01-01,83.1,80.7,2.4,42.3,66.3,2.9,64.4
Johor,Pontian,2024-01-01,84.4,82.2,2.1,42.4,66.6,2.5,64.8
Johor,Segamat,2018-01-01,96.7,94.0,2.7,43.7,68.9,2.8,66.9
Johor,Segamat,2019-01-01,100.1,97.6,2.6,42.1,70.4,2.6,68.6
Johor,Segamat,2020-01-01,103.2,99.5,3.7,42.6,70.8,3.6,68.2
Johor,Segamat,2021-01-01,101.9,97.9,4.0,43.3,70.2,3.9,67.4
Johor,Segamat,2022-01-01,103.3,99.7,3.6,43.1,70.6,3.5,68.1
Johor,Segamat,2023-01-01,105.9,102.9,3.0,43.7,70.8,2.9,68.8
Johor,Segamat,2024-01-01,108.9,106.2,2.8,43.9,71.3,2.5,69.5
Johor,Tangkak,2018-01-01,62.1,60.6,1.5,37.7,62.2,2.3,60.8
Johor,Tangkak,2019-01-01,64.3,62.9,1.4,36.0,64.1,2.1,62.7
Johor,Tangkak,2020-01-01,76.0,73.9,2.1,41.6,64.6,2.8,62.8
Johor,Tangkak,2021-01-01,76.7,74.3,2.3,41.6,64.8,3.0,62.8
Johor,Tangkak,2022-01-01,77.9,76.0,1.9,41.5,65.2,2.4,63.7
Johor,Tangkak,2023-01-01,79.9,78.3,1.5,42.2,65.4,1.9,64.1
Johor,Tangkak,2024-01-01,82.0,80.6,1.4,42.3,65.9,1.7,64.8
Kedah,Baling,2018-01-01,68.6,66.9,1.7,32.5,67.9,2.4,66.2
Kedah,Baling,2019-01-01,70.5,68.9,1.6,33.3,67.9,2.3,66.4
Kedah,Baling,2020-01-01,63.2,60.8,2.4,30.4,67.5,3.8,65.0
Kedah,Baling,2021-01-01,63.9,61.9,2.0,30.4,67.8,3.1,65.6
Kedah,Baling,2022-01-01,64.7,63.2,1.4,30.1,68.2,2.2,66.7
Kedah,Baling,2023-01-01,66.4,64.9,1.4,29.3,69.4,2.2,67.8
Kedah,Baling,2024-01-01,68.2,67.0,1.2,28.7,70.4,1.8,69.1
Kedah,Bandar Baharu,2018-01-01,21.6,21.0,0.6,10.0,68.4,2.7,66.5
Kedah,Bandar Baharu,2019-01-01,22.6,22.0,0.6,10.4,68.4,2.6,66.7
Kedah,Bandar Baharu,2020-01-01,20.6,19.7,0.9,8.7,70.3,4.6,67.2
Kedah,Bandar Baharu,2021-01-01,20.6,19.7,0.9,8.9,69.9,4.3,66.8
Kedah,Bandar Baharu,2022-01-01,20.9,20.3,0.6,8.8,70.5,3.1,68.4
Kedah,Bandar Baharu,2023-01-01,21.5,20.9,0.6,8.5,71.7,3.0,69.7
Kedah,Bandar Baharu,2024-01-01,21.9,21.4,0.5,8.6,71.8,2.5,70.2
Kedah,Kota Setar,2018-01-01,169.6,163.3,6.4,105.2,61.7,3.8,59.4
Kedah,Kota Setar,2019-01-01,171.4,165.3,6.1,106.9,61.6,3.5,59.4
Kedah,Kota Setar,2020-01-01,154.2,146.3,7.9,93.9,62.2,5.1,59.0
Kedah,Kota Setar,2021-01-01,154.0,146.7,7.3,95.6,61.7,4.7,58.8
Kedah,Kota Setar,2022-01-01,155.5,149.7,5.8,94.8,62.1,3.7,59.8
Kedah,Kota Setar,2023-01-01,159.3,153.4,5.8,92.8,63.2,3.7,60.8
Kedah,Kota Setar,2024-01-01,162.6,157.4,5.3,92.1,63.8,3.2,61.8
Kedah,Kuala Muda,2018-01-01,214.6,208.9,5.8,137.4,61.0,2.7,59.3
Kedah,Kuala Muda,2019-01-01,214.7,209.1,5.6,140.6,60.4,2.6,58.9
Kedah,Kuala Muda,2020-01-01,223.9,215.6,8.3,146.1,60.5,3.7,58.3
Kedah,Kuala Muda,2021-01-01,226.3,218.6,7.8,144.3,61.1,3.4,59.0
Kedah,Kuala Muda,2022-01-01,229.8,223.9,5.9,144.1,61.5,2.6,59.9
Kedah,Kuala Muda,2023-01-01,238.0,232.1,6.0,142.7,62.5,2.5,61.0
Kedah,Kuala Muda,2024-01-01,244.5,239.1,5.5,144.9,62.8,2.2,61.4
Kedah,Kubang Pasu,2018-01-01,100.2,97.6,2.6,64.5,60.8,2.6,59.3
Kedah,Kubang Pasu,2019-01-01,102.3,99.9,2.4,65.8,60.8,2.3,59.4
Kedah,Kubang Pasu,2020-01-01,97.6,93.8,3.8,59.0,62.3,3.9,59.9
Kedah,Kubang Pasu,2021-01-01,101.7,98.0,3.7,61.7,62.2,3.7,60.0
Kedah,Kubang Pasu,2022-01-01,103.5,100.6,2.9,60.8,63.0,2.8,61.2
Kedah,Kubang Pasu,2023-01-01,106.1,103.2,2.9,59.5,64.1,2.7,62.3
